"","logFC","logCPM","PValue","FDR","significant"
"PAU7",1.68857713909009,3.24332412299067,4.17535794762694e-07,1.38616530838205e-05,"Yes"
"IDP2",-1.04696896485537,10.2829193931065,4.53029922548636e-07,1.49442163622891e-05,"Yes"
"RTN2",1.05012372990566,9.50022048125118,4.59454780922862e-07,1.50602298126551e-05,"Yes"
"ERG29",-1.12417152731691,6.3445290846129,4.71942916071146e-07,1.53722790083803e-05,"Yes"
"SCW10",-1.04778511679879,9.65538747494309,4.76863922835196e-07,1.54354891022717e-05,"Yes"
"MRH1",-1.03596480444756,10.7145455667139,5.74149102568114e-07,1.84690571565234e-05,"Yes"
"RKI1",-1.06315852899064,7.63055275018282,5.99468314446264e-07,1.91644839538099e-05,"Yes"
"UTH1",-1.03099083860979,10.4303613078056,6.62017030730613e-07,2.10342711788579e-05,"Yes"
"PEX21",-1.07235966199714,7.06401986441121,7.46559864411506e-07,2.35758142547999e-05,"Yes"
"FAA1",1.03686495998124,8.54118190490972,7.77328459971329e-07,2.43986914799486e-05,"Yes"
"FMP23",-1.11556610349213,6.05924043541991,8.51874015722734e-07,2.65774429363135e-05,"Yes"
"SED1",1.01553600575629,13.040477607967,8.75536687924368e-07,2.71521227949719e-05,"Yes"
"GAC1",1.07952870358677,6.56499573429416,9.99518405028235e-07,3.08125346407216e-05,"Yes"
"PER33",1.05491345939278,7.15104639190697,1.0409482617059e-06,3.18998286826916e-05,"Yes"
"GSF2",1.02283410481878,8.47969243532517,1.10473841826542e-06,3.36555309893918e-05,"Yes"
"NNR1",1.03383925739494,7.74572726872035,1.12005387215039e-06,3.39225672740753e-05,"Yes"
"ECI1",1.13962622850344,5.57464666663644,1.13983697923055e-06,3.43210216013663e-05,"Yes"
"MDH1",-1.00796991894227,10.4956019394724,1.14859394690294e-06,3.43847864220251e-05,"Yes"
"AFT1",-1.08440286254407,6.35860134755158,1.19071414934974e-06,3.54408539050708e-05,"Yes"
"NPC2",1.01072675027365,9.39897992610289,1.20947395896623e-06,3.57935179056347e-05,"Yes"
"CTS2",1.19441155924663,5.04170851272023,1.27781211280617e-06,3.76010734785405e-05,"Yes"
"SRD1",1.17890475098234,5.12197656536661,1.29576897838905e-06,3.79140538930899e-05,"Yes"
"ACS2",-1.00131564553278,10.2304899762021,1.37488410000355e-06,4.00029480557212e-05,"Yes"
"HSP78",-1.00700460511804,8.98082949856261,1.42655346522764e-06,4.12744156224244e-05,"Yes"
"GET2",1.03589633452073,7.18024186210484,1.51933166959962e-06,4.37145484269802e-05,"Yes"
"INO1",-1.00263296083414,8.92724404603277,1.59840560361713e-06,4.57355945918956e-05,"Yes"
"GCV1",-1.0122249172533,7.90804075550943,1.73530796157432e-06,4.93799996318319e-05,"Yes"
"CIT2",-0.987841096234391,11.6151584929228,1.75183471040562e-06,4.95778795912061e-05,"No"
"AGX1",-0.990291661932825,9.74125126666261,1.87450647132133e-06,5.27612446465934e-05,"No"
"MIC60",-1.02116229712562,7.36638289110782,1.9530594570583e-06,5.46751077194862e-05,"Yes"
"BNA2",-1.06847528261114,6.10934680887012,2.17402717180901e-06,6.053379958494e-05,"Yes"
"COM2",-1.05765560609182,6.28185214804519,2.22706222462968e-06,6.1678905140947e-05,"Yes"
"EMI2",1.0149874522566,7.3261440040322,2.28876877281641e-06,6.30507099702989e-05,"Yes"
"OPI3",0.976265853630912,10.3622355924915,2.44808090356621e-06,6.70825978813195e-05,"No"
"PEX11",0.988426233393295,8.46904060634045,2.47045280468799e-06,6.71300451182563e-05,"No"
"MMP1",0.982506873132629,9.06891695604234,2.47573636176616e-06,6.71300451182563e-05,"No"
"NDE2",0.995958469644629,7.88114178868909,2.52928077271848e-06,6.81649100025462e-05,"No"
"COX5B",1.18453173366897,4.81401158613809,2.54022545481587e-06,6.81649100025462e-05,"Yes"
"GPH1",0.985276201620211,8.27954230053635,2.80423759711648e-06,7.48615799766302e-05,"No"
"PCL1",-1.01545208413853,6.92099858023479,3.00623917762908e-06,7.98426292355948e-05,"Yes"
"IRC18",1.20006801399761,4.59911531952865,3.21185112503909e-06,8.48682498804971e-05,"Yes"
"PGK1",0.96008897923086,12.6095939385777,3.27277259588748e-06,8.60390318482296e-05,"No"
"ALT2",1.01570342807121,6.79773240466908,3.30680665573755e-06,8.6309224280906e-05,"Yes"
"BDH1",0.972861178636387,8.71718367801608,3.31638069741269e-06,8.6309224280906e-05,"No"
"TDA1",1.09591581427465,5.41888914159717,3.48639458539525e-06,9.028018778881e-05,"Yes"
"ENA1",1.08759512779638,5.51025929553235,3.53300219131928e-06,9.10319320837937e-05,"Yes"
"ERR3",1.07432253868476,5.63021643562167,4.12938681639276e-06,0.000105871754069792,"Yes"
"PRS2",1.02244785600601,6.37244213409229,4.26948197529642e-06,0.000108924370197341,"Yes"
"MNC1",-1.00408010601014,6.73923524009145,4.58529361745916e-06,0.00011640801786677,"Yes"
"IDP1",-0.956936918848173,8.13776421389822,5.56849304407394e-06,0.0001406791486598,"No"
"LOH1",1.07489389597803,5.36012614851168,5.59985922986528e-06,0.00014078481044404,"Yes"
"NCW2",-0.957216186988314,7.99967876820646,5.79612069441244e-06,0.00014501501969257,"No"
"APC2",-1.00227023306782,6.49026455325878,5.86017015705391e-06,0.000145912602131645,"Yes"
"IDP3",1.06427645497603,5.5120271391077,5.94341633588034e-06,0.00014727728805514,"Yes"
"TPC1",1.0678817271512,5.42484578433041,6.01905363085325e-06,0.0001484413274009,"Yes"
"ARG7",-0.947993179720406,8.19099610564382,6.67149918855549e-06,0.00016347080674776,"No"
"ACO1",-0.930508563434997,11.0641208894899,6.69160282497105e-06,0.00016347080674776,"No"
"TPO3",-0.957824915763037,7.48042145304979,7.08945269357315e-06,0.000172376880281762,"No"
"HUG1",2.27411461861582,1.88638294600304,7.29297474439422e-06,0.000176496804678587,"Yes"
"PNS1",0.934404051545322,8.99045566891725,7.44464248573842e-06,0.000179329318295997,"No"
"AYR1",0.938559172496596,8.3269205675572,7.85707608974643e-06,0.000188387949392578,"No"
"ERG24",0.946832776234699,7.75438661230366,7.92340934827671e-06,0.000189102935551728,"No"
"CHS7",0.960615904200618,7.15337908260389,8.11815926745226e-06,0.000192862141496033,"No"
"SIP4",-0.957162942385682,7.20834828583144,8.52760171742209e-06,0.000201664152029813,"No"
"BAP2",0.932093001917338,8.24855757289496,9.24483941904589e-06,0.000217631924323812,"No"
"ARO5",-0.962506635112657,6.89907700983438,9.35815372483455e-06,0.000219302616022254,"No"
"DOG2",0.966800567061316,6.74186876698161,9.63109134093963e-06,0.000224682081327596,"No"
"CIT1",-0.912980596959663,11.2459461085825,9.80904629198255e-06,0.000227807402449227,"No"
"SPG4",0.917571661815069,9.611110315263,9.88565903798393e-06,0.000228561732846959,"No"
"ATP10",-1.19574298646002,4.27583197958572,1.00143933502304e-05,0.00023050908071486,"Yes"
"YAT1",-0.915767374279187,9.62447005655447,1.02859237777424e-05,0.000235711501083751,"No"
"TOH1",-0.946474377816233,7.26699731183511,1.03873764002112e-05,0.000236987763773983,"No"
"TDH3",0.908012491834355,14.0921946843579,1.04588835541054e-05,0.000237572622485579,"No"
"HOR7",0.905237694715572,11.3417210887626,1.15843094863595e-05,0.000261987505807231,"No"
"UCC1",0.976771387357731,6.18700367168309,1.32047713861803e-05,0.000297337004387077,"No"
"UGA3",-0.951245513899182,6.73395462575657,1.34861770625404e-05,0.000302358922107777,"No"
"FLC1",-0.918000602636355,7.96470229292269,1.37118979100026e-05,0.000305866052678836,"No"
"IMA5",1.38145830978797,3.41674532038083,1.37607241309459e-05,0.000305866052678836,"Yes"
"PPN2",-0.962788415617692,6.37210946161995,1.42051385642486e-05,0.000314394925744631,"No"
"ITR1",0.889745474746648,9.18949292626207,1.90030569126172e-05,0.000417943457122373,"No"
"MIN7",1.01382943265405,5.35758394719057,1.90485149198361e-05,0.000417943457122373,"Yes"
"LSP1",0.885357551596487,10.0044583205501,1.91258156667315e-05,0.000417943457122373,"No"
"ADI1",0.935127362504355,6.61579153389851,2.04210218405444e-05,0.000444371731563779,"No"
"ROG3",-0.954146738573724,5.98029102815227,2.55743579752925e-05,0.000552723805244054,"No"
"UGP1",0.87796650316028,8.86275661879014,2.56137696965771e-05,0.000552723805244054,"No"
